Nome, Solucao, #Rotas, clocks, clocks_melhor_sol
mggdb_0.35_1, 252.0, 5, 9694681, 3263
mggdb_0.35_2, 284.0, 6, 10275238, 80643
mggdb_0.35_3, 243.0, 5, 9371071, 3134
mggdb_0.35_4, 242.0, 4, 8373788, 7892
mggdb_0.35_5, 309.0, 6, 11058281, 51326
mggdb_0.35_6, 262.0, 5, 9858739, 3500
mggdb_0.35_7, 272.0, 5, 10302150, 3771
mggdb_0.35_8, 316.0, 10, 21767170, 1569390
mggdb_0.35_9, 266.0, 10, 25887075, 1251030
mggdb_0.35_10, 268.0, 4, 14112692, 7388
mggdb_0.35_11, 303.0, 5, 29701560, 521154
mggdb_0.35_12, 461.0, 8, 8697524, 10516
mggdb_0.35_13, 417.0, 6, 13957904, 1314243
mggdb_0.35_14, 84.0, 5, 9005156, 7349
mggdb_0.35_15, 44.0, 4, 6509364, 3173
mggdb_0.35_16, 75.0, 5, 11479596, 7452
mggdb_0.35_17, 62.0, 5, 7987500, 3351
mggdb_0.35_18, 135.0, 5, 16442450, 9439
mggdb_0.35_19, 51.0, 4, 4003242, 2756
mggdb_0.35_20, 95.0, 5, 9660119, 3666
mggdb_0.35_21, 120.0, 6, 15706179, 31296
mggdb_0.35_22, 139.0, 8, 21876340, 68241
mggdb_0.35_23, 179.0, 10, 30549360, 6386588
mggdb_0.40_1, 279.0, 5, 9200657, 21107
mggdb_0.40_2, 308.0, 6, 10667282, 36888
mggdb_0.40_3, 225.0, 5, 9517375, 15626
mggdb_0.40_4, 238.0, 4, 8801953, 5990
mggdb_0.40_5, 344.0, 6, 10497461, 54784
mggdb_0.40_6, 270.0, 5, 9134662, 3044
mggdb_0.40_7, 282.0, 5, 9320461, 36002
mggdb_0.40_8, 331.0, 10, 22321460, 409390
mggdb_0.40_9, 275.0, 11, 24342445, 98568
mggdb_0.40_10, 191.0, 4, 9631525, 3420
mggdb_0.40_11, 283.0, 5, 25467332, 269373
mggdb_0.40_12, 412.0, 7, 9145178, 3199
mggdb_0.40_13, 395.0, 7, 11312825, 3280
mggdb_0.40_14, 62.0, 5, 9028711, 40888
mggdb_0.40_15, 37.0, 4, 6585229, 4006
mggdb_0.40_16, 84.0, 6, 11129123, 6431
mggdb_0.40_17, 65.0, 5, 8160517, 8566
mggdb_0.40_18, 119.0, 5, 15760186, 17600
mggdb_0.40_19, 38.0, 3, 3940262, 3405
mggdb_0.40_20, 94.0, 4, 10637080, 102987
mggdb_0.40_21, 104.0, 6, 15034657, 147873
mggdb_0.40_22, 129.0, 8, 19192117, 356786
mggdb_0.40_23, 160.0, 10, 27875529, 2412853
mggdb_0.45_1, 259.0, 5, 8376922, 9662
mggdb_0.45_2, 298.0, 6, 10105905, 24996
mggdb_0.45_3, 237.0, 5, 9252705, 6224
mggdb_0.45_4, 228.0, 4, 8205848, 4198
mggdb_0.45_5, 350.0, 6, 10308379, 42371
mggdb_0.45_6, 218.0, 5, 8840865, 11240
mggdb_0.45_7, 243.0, 5, 8740691, 4113
mggdb_0.45_8, 296.0, 10, 21859650, 563210
mggdb_0.45_9, 277.0, 10, 23656905, 1013658
mggdb_0.45_10, 214.0, 4, 11291310, 32075
mggdb_0.45_11, 297.0, 6, 25482312, 175069
mggdb_0.45_12, 393.0, 7, 10488674, 4546
mggdb_0.45_13, 403.0, 7, 11161476, 107961
mggdb_0.45_14, 66.0, 5, 7796626, 6020
mggdb_0.45_15, 34.0, 4, 5866471, 3520
mggdb_0.45_16, 70.0, 6, 8934102, 7966
mggdb_0.45_17, 53.0, 5, 7242547, 4187
mggdb_0.45_18, 123.0, 5, 13226865, 5076
mggdb_0.45_19, 48.0, 4, 4609547, 2692
mggdb_0.45_20, 78.0, 5, 8328948, 3149
mggdb_0.45_21, 122.0, 7, 13514322, 83922
mggdb_0.45_22, 136.0, 8, 19522207, 260062
mggdb_0.45_23, 144.0, 10, 33327030, 9178049
mggdb_0.50_1, 214.0, 5, 8431951, 4199
mggdb_0.50_2, 269.0, 6, 8984124, 14300
mggdb_0.50_3, 218.0, 5, 8815370, 4878
mggdb_0.50_4, 219.0, 4, 7146335, 3152
mggdb_0.50_5, 292.0, 6, 9097212, 3716
mggdb_0.50_6, 276.0, 5, 8204586, 8630
mggdb_0.50_7, 265.0, 5, 9206664, 3813
mggdb_0.50_8, 310.0, 11, 17932758, 92613
mggdb_0.50_9, 265.0, 11, 21056716, 122845
mggdb_0.50_10, 194.0, 4, 9385214, 39498
mggdb_0.50_11, 275.0, 5, 23481496, 633723
mggdb_0.50_12, 445.0, 7, 8985943, 5454
mggdb_0.50_13, 242.0, 7, 10182873, 9889
mggdb_0.50_14, 75.0, 5, 8162286, 3023
mggdb_0.50_15, 37.0, 4, 5473648, 3554
